date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:03:23	239210/239210	---M--	200	added ('OK')	image/jpeg	etag:%22b5ac50a9808e9435001bf7de5bcf2269%22	https://pgi.playbattlegrounds.com/assets/img/event-slider/event_slider_erangel.jpg	C:/O/PUBG/pgi.playbattlegrounds.com/94m-3uj4.jpg	(from https://pgi.playbattlegrounds.com/about)
02:03:23	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:03:22%20GMT	http://pgi.playbattlegrounds.com/assets/img/event-slider/event_slider_sanhok.jpg	C:/O/PUBG/pgi.playbattlegrounds.com/3zwm6t2c.jpg	(from https://pgi.playbattlegrounds.com/about)
02:03:23	255409/255409	---M--	200	added ('OK')	image/jpeg	etag:%220ad0bf30fcbcfa69b45bc9056784a048%22	https://pgi.playbattlegrounds.com/assets/img/event-slider/event_slider_miramar.jpg	C:/O/PUBG/pgi.playbattlegrounds.com/79ygx882.jpg	(from https://pgi.playbattlegrounds.com/about)
02:03:25	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:03:23%20GMT	http://pgi.playbattlegrounds.com/assets/img/ajax-loader.gif	C:/O/PUBG/pgi.playbattlegrounds.com/ci4gqfx-.gif	(from https://pgi.playbattlegrounds.com/about)
02:03:25	294210/294210	---M--	200	added ('OK')	image/jpeg	etag:%222bbc5cef421967fad4a225549703fdaf%22	https://pgi.playbattlegrounds.com/assets/img/event-slider/event_slider_sanhok.jpg	C:/O/PUBG/pgi.playbattlegrounds.com/hu93n7sl.jpg	(from https://pgi.playbattlegrounds.com/about)
02:03:25	4178/4178	---M--	200	added ('OK')	image/gif	etag:%22c5cd7f5300576ab4c88202b42f6ded62%22	https://pgi.playbattlegrounds.com/assets/img/ajax-loader.gif	C:/O/PUBG/pgi.playbattlegrounds.com/t2qyitoi.gif	(from https://pgi.playbattlegrounds.com/about)
02:03:25	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:03:24%20GMT	http://pgi.playbattlegrounds.com/assets/img/event-slider/event_slider_erangel_lobby.jpg	C:/O/PUBG/pgi.playbattlegrounds.com/1ay-yvxp.jpg	(from https://pgi.playbattlegrounds.com/about)
02:03:26	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:03:25%20GMT	http://pgi.playbattlegrounds.com/assets/img/event-slider/event_slider_miramar_lobby.jpg	C:/O/PUBG/pgi.playbattlegrounds.com/zf_fh9kn.jpg	(from https://pgi.playbattlegrounds.com/about)
02:03:26	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:03:25%20GMT	http://pgi.playbattlegrounds.com/assets/img/bkg_rules_tpp_fpp.jpg	C:/O/PUBG/pgi.playbattlegrounds.com/1qr8cvqc.jpg	(from https://pgi.playbattlegrounds.com/about)
02:03:28	890265/890265	---M--	200	added ('OK')	image/jpeg	etag:%22087e15c48b9fba1a6c13ef855077f144%22	https://pgi.playbattlegrounds.com/assets/img/event-slider/event_slider_erangel_lobby.jpg	C:/O/PUBG/pgi.playbattlegrounds.com/gv-qrjny.jpg	(from https://pgi.playbattlegrounds.com/about)
02:03:28	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:03:27%20GMT	http://pgi.playbattlegrounds.com/assets/img/bkg_rules_bluezone.jpg	C:/O/PUBG/pgi.playbattlegrounds.com/8x7haxkx.jpg	(from https://pgi.playbattlegrounds.com/about)
02:03:28	843641/843641	---M--	200	added ('OK')	image/jpeg	etag:%22d5498ea69e633b8f3c5355e6cea101bd%22	https://pgi.playbattlegrounds.com/assets/img/event-slider/event_slider_miramar_lobby.jpg	C:/O/PUBG/pgi.playbattlegrounds.com/ezkx-lav.jpg	(from https://pgi.playbattlegrounds.com/about)
02:03:28	203456/203456	---M--	200	added ('OK')	image/jpeg	etag:%22e41eb0613dbb1e4b7b9526ad2ab88291%22	https://pgi.playbattlegrounds.com/assets/img/bkg_rules_tpp_fpp.jpg	C:/O/PUBG/pgi.playbattlegrounds.com/g_3ovjgk.jpg	(from https://pgi.playbattlegrounds.com/about)
02:03:29	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:03:28%20GMT	http://pgi.playbattlegrounds.com/assets/img/bkg_rules_rank_and_kills.jpg	C:/O/PUBG/pgi.playbattlegrounds.com/sds-a7ji.jpg	(from https://pgi.playbattlegrounds.com/about)
